1.png	[{"transcription": "IBKWM센터 광주", "points": [[484, 65], [2676, 65], [2676, 295], [484, 295]]}, {"transcription": "|BK기업은행", "points": [[2783, 69], [3348, 61], [3350, 161], [2784, 169]]}, {"transcription": "|BK투자증권", "points": [[2791, 165], [3364, 165], [3364, 266], [2791, 266]]}]
316.png	[{"transcription": "연품", "points": [[86, 0], [785, 110], [697, 633], [0, 470]]}, {"transcription": "BAR", "points": [[159, 393], [702, 454], [662, 809], [118, 748]]}, {"transcription": "5F", "points": [[317, 734], [539, 762], [518, 926], [296, 898]]}]
317.png	[{"transcription": "중국전복", "points": [[35, 0], [1028, 322], [981, 704], [0, 368]]}]
318.png	[{"transcription": "꽃사지", "points": [[56, 23], [673, 210], [581, 504], [0, 317]]}, {"transcription": "4F", "points": [[664, 254], [773, 254], [773, 343], [664, 343]]}]
32.png	[{"transcription": "피F", "points": [[907, 156], [1124, 156], [1124, 515], [907, 515]]}, {"transcription": "BALLISTIC", "points": [[1242, 150], [3132, 213], [3126, 424], [1236, 361]]}, {"transcription": "GOLF", "points": [[1783, 413], [2650, 422], [2649, 557], [1782, 548]]}]
320.png	[{"transcription": "헤맥동네", "points": [[427, 615], [2479, 297], [2557, 797], [506, 1114]]}, {"transcription": "양약탕", "points": [[239, 698], [449, 747], [376, 1048], [166, 998]]}, {"transcription": "    ", "points": [[1899, 934], [2476, 869], [2492, 1009], [1915, 1073]]}, {"transcription": "F전", "points": [[2250, 953], [2329, 953], [2329, 984], [2250, 984]]}, {"transcription": "콘차", "points": [[302, 990], [390, 990], [390, 1045], [302, 1045]]}]
321.png	[{"transcription": "A", "points": [[1013, 452], [1041, 452], [1041, 471], [1013, 471]]}, {"transcription": "6진", "points": [[23, 567], [1643, 57], [1769, 452], [149, 950]]}]
322.png	[{"transcription": "전58러", "points": [[246, 284], [575, 378], [345, 1224], [16, 1130]]}]
323.png	[{"transcription": "전전방원장국나닭국화신문집", "points": [[463, 642], [1244, 313], [1279, 394], [498, 723]]}, {"transcription": "플전품 원집", "points": [[190, 851], [1627, 317], [1700, 510], [264, 1044]]}]
324.png	[{"transcription": "국실", "points": [[230, 689], [1318, 532], [1400, 1099], [312, 1255]]}, {"transcription": "상문점 0623741388", "points": [[1382, 1073], [2227, 972], [2238, 1066], [1393, 1167]]}]
325.png	[{"transcription": "2F", "points": [[1423, 78], [1555, 18], [1589, 93], [1458, 153]]}, {"transcription": "UOwemserk", "points": [[0, 826], [1243, 116], [1330, 270], [66, 980]]}]
328.png	[{"transcription": "크FF", "points": [[88, 523], [496, 527], [483, 1797], [74, 1792]]}]
329.png	[{"transcription": "강아지", "points": [[103, 27], [272, 84], [251, 149], [82, 92]]}, {"transcription": "B1", "points": [[122, 567], [198, 574], [194, 620], [118, 613]]}]
33.png	[{"transcription": "약약국", "points": [[1434, 206], [2826, 266], [2826, 1131], [1398, 1072]]}, {"transcription": "생생", "points": [[443, 619], [1442, 607], [1447, 1056], [448, 1067]]}]
333.png	[{"transcription": "명품", "points": [[110, 39], [657, 32], [661, 294], [113, 300]]}, {"transcription": "BAR", "points": [[163, 299], [562, 296], [563, 453], [164, 456]]}, {"transcription": "5F", "points": [[263, 466], [433, 466], [433, 577], [263, 577]]}]
334.png	[{"transcription": "Krsy", "points": [[524, 293], [591, 238], [618, 271], [551, 326]]}, {"transcription": "STRIKEZO", "points": [[323, 333], [488, 333], [488, 376], [323, 376]]}, {"transcription": "스크린", "points": [[52, 429], [723, 429], [723, 673], [52, 673]]}, {"transcription": "야그", "points": [[111, 653], [590, 639], [596, 849], [118, 863]]}, {"transcription": "3F", "points": [[234, 872], [422, 868], [425, 1006], [237, 1010]]}, {"transcription": "트라이크존 상무구장382-0013", "points": [[12, 1091], [655, 1083], [655, 1135], [13, 1143]]}]
337.png	[{"transcription": "7ZUKSM", "points": [[300, 397], [663, 223], [707, 313], [344, 487]]}, {"transcription": "#F전", "points": [[444, 636], [712, 523], [782, 685], [513, 798]]}, {"transcription": "THano", "points": [[170, 762], [425, 634], [499, 778], [243, 906]]}, {"transcription": "꼬ase", "points": [[266, 1001], [443, 1088], [326, 1320], [149, 1232]]}, {"transcription": "+", "points": [[410, 1046], [697, 953], [757, 1135], [470, 1228]]}, {"transcription": "국신", "points": [[248, 1272], [577, 1246], [592, 1431], [263, 1457]]}]
339.png	[{"transcription": "풍한국보내물", "points": [[28, 0], [1176, 136], [1169, 461], [0, 353]]}, {"transcription": "B", "points": [[244, 295], [402, 302], [397, 404], [239, 397]]}, {"transcription": "유흥주점", "points": [[36, 327], [178, 341], [173, 394], [30, 380]]}]
34.png	[{"transcription": "노블레스수현결호정보광주자사27765080", "points": [[48, 9], [3246, 19], [3246, 183], [48, 173]]}]
340.png	[{"transcription": "이편", "points": [[48, 50], [720, 150], [662, 553], [0, 452]]}, {"transcription": "역", "points": [[803, 269], [1143, 416], [1068, 598], [727, 451]]}, {"transcription": "노래홀학", "points": [[118, 425], [1188, 626], [1146, 856], [76, 655]]}]
341.png	[{"transcription": "복", "points": [[6, 69], [355, 82], [330, 775], [0, 762]]}, {"transcription": "F", "points": [[96, 426], [102, 420], [106, 425], [101, 430]]}, {"transcription": "그 ", "points": [[127, 482], [132, 478], [137, 483], [133, 487]]}]
344.png	[{"transcription": "S", "points": [[249, 166], [480, 68], [579, 309], [348, 407]]}, {"transcription": "그", "points": [[320, 203], [327, 203], [327, 212], [320, 212]]}, {"transcription": "-", "points": [[348, 198], [357, 198], [357, 236], [348, 236]]}]
345.png	[{"transcription": "맛탕", "points": [[1656, 103], [1751, 103], [1751, 200], [1656, 200]]}, {"transcription": "새별집 한우명가", "points": [[552, 130], [1643, 161], [1637, 334], [546, 303]]}, {"transcription": "가계점384-8592", "points": [[1813, 293], [2061, 306], [2058, 351], [1810, 338]]}]
346.png	[{"transcription": "Luxury Modern Bar", "points": [[60, 24], [336, 36], [334, 75], [58, 63]]}, {"transcription": "BAR담", "points": [[9, 128], [483, 128], [483, 317], [9, 317]]}, {"transcription": "AwAieEU장학e", "points": [[666, 158], [817, 161], [816, 205], [666, 202]]}, {"transcription": "Tfe", "points": [[752, 281], [785, 296], [773, 323], [740, 308]]}]
347.png	[]
348.png	[{"transcription": "BARNE", "points": [[35, 160], [139, 159], [143, 691], [39, 692]]}, {"transcription": "3F", "points": [[67, 748], [155, 748], [155, 863], [67, 863]]}]
349.png	[{"transcription": "BAR 탁", "points": [[379, 16], [2365, 398], [2287, 836], [301, 454]]}]
35.png	[{"transcription": "S", "points": [[2310, 80], [2454, 127], [2420, 229], [2276, 182]]}, {"transcription": "전자담배", "points": [[68, 657], [2919, 611], [2929, 1195], [78, 1240]]}]
350.png	[{"transcription": "M", "points": [[9, 104], [115, 113], [106, 210], [0, 202]]}, {"transcription": "당", "points": [[186, 120], [288, 126], [282, 237], [180, 232]]}, {"transcription": "구", "points": [[385, 143], [478, 143], [478, 247], [385, 247]]}, {"transcription": "클럽러", "points": [[548, 182], [679, 189], [674, 274], [543, 267]]}, {"transcription": "KRD CL", "points": [[1, 232], [111, 189], [131, 236], [21, 279]]}, {"transcription": "자", "points": [[662, 336], [705, 336], [705, 387], [662, 387]]}]
351.png	[{"transcription": "치치스", "points": [[206, 67], [423, 109], [401, 223], [184, 182]]}, {"transcription": "SHUFFLE", "points": [[224, 201], [399, 234], [390, 281], [215, 248]]}, {"transcription": "BAR", "points": [[253, 256], [380, 277], [369, 345], [241, 324]]}, {"transcription": "AD LOUDIEPLE", "points": [[259, 329], [371, 346], [367, 370], [255, 353]]}, {"transcription": "B", "points": [[627, 364], [685, 364], [685, 425], [627, 425]]}]
352.png	[{"transcription": "무맛탕", "points": [[2334, 35], [2539, 35], [2539, 258], [2334, 258]]}, {"transcription": "새별집한우명가", "points": [[52, 95], [2317, 180], [2305, 530], [40, 445]]}, {"transcription": "84-8592", "points": [[2828, 477], [3187, 477], [3187, 551], [2828, 551]]}]
353.png	[{"transcription": "휴스통 &아로마", "points": [[1025, 423], [2916, 748], [2854, 1088], [964, 763]]}, {"transcription": "휴", "points": [[537, 624], [610, 624], [610, 713], [537, 713]]}, {"transcription": "Stone&aroma", "points": [[341, 705], [800, 782], [786, 864], [327, 787]]}, {"transcription": "4F", "points": [[2939, 703], [3111, 703], [3111, 860], [2939, 860]]}, {"transcription": "457-0100", "points": [[1700, 939], [2349, 1028], [2330, 1158], [1681, 1069]]}, {"transcription": "5F", "points": [[2967, 1061], [3167, 1061], [3167, 1245], [2967, 1245]]}]
354.png	[{"transcription": "헤 야0-시머66호어홈", "points": [[53, 65], [135, 51], [266, 890], [184, 903]]}, {"transcription": "4FSF", "points": [[166, 950], [272, 896], [301, 955], [195, 1009]]}]
355.png	[{"transcription": "SHUFLE", "points": [[75, 467], [191, 374], [217, 409], [101, 502]]}, {"transcription": "BAR", "points": [[85, 505], [187, 426], [227, 484], [125, 562]]}, {"transcription": "Ga학G", "points": [[167, 517], [188, 517], [188, 535], [167, 535]]}, {"transcription": "HLOM", "points": [[131, 546], [166, 528], [175, 548], [141, 566]]}, {"transcription": "ET", "points": [[230, 802], [273, 802], [273, 851], [230, 851]]}]
356.png	[{"transcription": "BAR탐", "points": [[472, 0], [2813, 358], [2716, 858], [375, 510]]}, {"transcription": "3F", "points": [[2776, 731], [2864, 731], [2864, 802], [2776, 802]]}]
359.png	[{"transcription": "MATA", "points": [[141, 22], [719, 132], [700, 233], [122, 124]]}, {"transcription": "HARI", "points": [[852, 156], [1310, 248], [1289, 352], [832, 261]]}, {"transcription": "신개념", "points": [[138, 185], [539, 251], [516, 393], [115, 327]]}, {"transcription": "허브", "points": [[612, 197], [1259, 419], [1176, 662], [529, 440]]}, {"transcription": "5F", "points": [[326, 392], [532, 414], [518, 552], [312, 531]]}, {"transcription": "까꾸리시스템 짬매기기", "points": [[100, 586], [922, 726], [904, 833], [82, 693]]}, {"transcription": "안마", "points": [[929, 599], [1439, 649], [1416, 890], [906, 840]]}]
36.png	[{"transcription": "7번가피자", "points": [[1288, 163], [2328, 193], [2322, 403], [1282, 373]]}, {"transcription": "th", "points": [[1919, 753], [2077, 753], [2077, 882], [1919, 882]]}, {"transcription": "상무점", "points": [[2645, 986], [3151, 986], [3151, 1165], [2645, 1165]]}, {"transcription": "1688-7887", "points": [[211, 1107], [1043, 1120], [1040, 1319], [208, 1306]]}, {"transcription": "374-7776", "points": [[2541, 1160], [3273, 1174], [3270, 1365], [2538, 1351]]}]
360.png	[{"transcription": "스크린야구", "points": [[137, 49], [1227, 278], [1187, 459], [98, 230]]}, {"transcription": "5리얼야구존", "points": [[1311, 290], [2529, 567], [2483, 759], [1265, 481]]}]
361.png	[{"transcription": "hi-eae", "points": [[37, 103], [129, 85], [279, 800], [188, 818]]}, {"transcription": "7", "points": [[232, 933], [294, 896], [323, 941], [262, 978]]}, {"transcription": "Ns ", "points": [[321, 926], [360, 958], [266, 1067], [227, 1035]]}]
362.png	[{"transcription": "리얼아크점", "points": [[54, 111], [216, 138], [209, 180], [46, 153]]}, {"transcription": "스크린", "points": [[47, 157], [215, 181], [204, 253], [36, 229]]}, {"transcription": "하170", "points": [[56, 229], [204, 243], [178, 511], [29, 497]]}, {"transcription": "373-938889", "points": [[18, 483], [182, 512], [175, 547], [11, 518]]}]
364.png	[{"transcription": "S", "points": [[369, 155], [537, 155], [537, 313], [369, 313]]}, {"transcription": "M", "points": [[665, 222], [880, 271], [854, 395], [639, 346]]}, {"transcription": "탕", "points": [[920, 267], [1135, 315], [1103, 465], [889, 417]]}, {"transcription": "구", "points": [[1343, 371], [1543, 417], [1509, 572], [1309, 526]]}, {"transcription": "클", "points": [[1677, 460], [1863, 508], [1832, 639], [1645, 590]]}, {"transcription": "7F", "points": [[2243, 637], [2409, 674], [2386, 784], [2220, 747]]}]
367.png	[{"transcription": "F사G", "points": [[21, 123], [235, 113], [269, 769], [55, 779]]}, {"transcription": "스웨디시", "points": [[45, 868], [246, 770], [281, 838], [80, 936]]}, {"transcription": "테라피", "points": [[43, 935], [245, 828], [288, 903], [86, 1009]]}, {"transcription": "B", "points": [[101, 1026], [221, 995], [251, 1106], [131, 1136]]}]
369.png	[{"transcription": "AURORA", "points": [[36, 162], [247, 74], [273, 139], [61, 227]]}, {"transcription": "전전커", "points": [[33, 195], [262, 186], [293, 974], [64, 983]]}, {"transcription": "BAR", "points": [[56, 1054], [302, 1048], [305, 1156], [59, 1162]]}, {"transcription": "4F", "points": [[73, 1250], [264, 1207], [294, 1347], [104, 1390]]}]
37.png	[{"transcription": "배쌀국치", "points": [[1475, 355], [2452, 403], [2434, 818], [1457, 771]]}, {"transcription": "상문점", "points": [[2650, 600], [2979, 600], [2979, 721], [2650, 721]]}, {"transcription": "SALAD |FRUIT |JUICE", "points": [[332, 615], [1232, 615], [1232, 725], [332, 725]]}]
371.png	[{"transcription": "BAR TE", "points": [[55, 229], [347, 230], [343, 1491], [51, 1490]]}, {"transcription": "3", "points": [[79, 1641], [314, 1617], [337, 1850], [101, 1874]]}]
373.png	[{"transcription": "e", "points": [[83, 83], [263, 85], [253, 1121], [74, 1119]]}, {"transcription": "Wwhisky", "points": [[58, 1171], [258, 1158], [262, 1234], [63, 1248]]}, {"transcription": "Beer", "points": [[71, 1277], [239, 1268], [242, 1342], [75, 1351]]}, {"transcription": "wine", "points": [[68, 1372], [240, 1362], [244, 1443], [72, 1453]]}, {"transcription": "2F", "points": [[52, 1492], [270, 1507], [258, 1707], [40, 1692]]}]
374.png	[{"transcription": "mesbershipno", "points": [[34, 53], [306, 53], [306, 1674], [34, 1674]]}]
375.png	[{"transcription": "HUNG", "points": [[83, 198], [186, 171], [199, 219], [96, 245]]}, {"transcription": "DAH", "points": [[78, 238], [184, 215], [196, 266], [90, 289]]}, {"transcription": "c~-", "points": [[87, 289], [147, 278], [152, 304], [93, 315]]}, {"transcription": "첨랑디사EH", "points": [[68, 391], [207, 392], [201, 1053], [62, 1052]]}, {"transcription": "5F", "points": [[33, 1185], [195, 1149], [220, 1256], [58, 1292]]}]
378.png	[{"transcription": "진무수단점", "points": [[0, 0], [1608, 0], [1582, 1262], [0, 1236]]}, {"transcription": "아로마", "points": [[752, 635], [1678, 635], [1678, 1068], [752, 1068]]}]
379.png	[{"transcription": "s", "points": [[284, 86], [582, 101], [500, 1748], [202, 1734]]}, {"transcription": "whisky", "points": [[107, 1828], [359, 1864], [345, 1965], [92, 1930]]}, {"transcription": "Beer ", "points": [[97, 1923], [311, 1951], [299, 2042], [86, 2015]]}, {"transcription": "2F", "points": [[385, 1915], [555, 1915], [555, 2108], [385, 2108]]}, {"transcription": "wine -", "points": [[85, 2000], [329, 2023], [318, 2133], [75, 2110]]}]
38.png	[{"transcription": "BODYFRIEND", "points": [[44, 51], [1995, 46], [1996, 306], [45, 311]]}]
380.png	[{"transcription": "박진감 넘치는", "points": [[241, 261], [1195, 289], [1188, 530], [233, 502]]}, {"transcription": "실제 아구경겹기", "points": [[588, 572], [1565, 594], [1559, 841], [582, 819]]}, {"transcription": "라리엄야구존", "points": [[387, 1388], [1380, 1421], [1368, 1759], [375, 1726]]}, {"transcription": "GF", "points": [[156, 2233], [370, 2233], [370, 2471], [156, 2471]]}, {"transcription": "2373-9388-9", "points": [[636, 2292], [1486, 2329], [1479, 2495], [628, 2458]]}]
381.png	[{"transcription": "광주상무점", "points": [[1533, 227], [2120, 145], [2131, 223], [1544, 306]]}, {"transcription": "375-244", "points": [[1534, 316], [2118, 240], [2127, 308], [1543, 384]]}, {"transcription": " 조개전골", "points": [[507, 393], [1171, 322], [1188, 476], [525, 548]]}, {"transcription": "www택이네com", "points": [[1524, 393], [2133, 333], [2141, 410], [1531, 470]]}, {"transcription": "학래이네", "points": [[54, 433], [505, 374], [533, 577], [81, 636]]}]
382.png	[{"transcription": "유흥주점", "points": [[1968, 854], [2226, 793], [2242, 865], [1984, 926]]}, {"transcription": "AND", "points": [[264, 1046], [504, 968], [531, 1058], [292, 1136]]}]
383.png	[{"transcription": "허전학석전학술", "points": [[0, 1179], [1933, 165], [2099, 530], [141, 1544]]}, {"transcription": "AA", "points": [[44, 1462], [72, 1462], [72, 1477], [44, 1477]]}]
384.png	[{"transcription": "치하페페", "points": [[1105, 97], [2040, 131], [2026, 503], [1092, 469]]}, {"transcription": "SHUFFLE", "points": [[1194, 501], [1906, 527], [1901, 664], [1189, 638]]}, {"transcription": "BAR", "points": [[1309, 653], [1796, 674], [1787, 877], [1300, 856]]}, {"transcription": "B1", "points": [[2898, 822], [3115, 822], [3115, 1005], [2898, 1005]]}, {"transcription": "서플 LOUNGE PUB", "points": [[1317, 877], [1777, 891], [1775, 950], [1315, 936]]}]
385.png	[{"transcription": "SM", "points": [[155, 337], [661, 337], [661, 628], [155, 628]]}, {"transcription": "당", "points": [[1035, 348], [1399, 325], [1419, 666], [1055, 689]]}, {"transcription": "구", "points": [[1886, 396], [2170, 396], [2170, 660], [1886, 660]]}, {"transcription": "클럽", "points": [[2546, 443], [3090, 453], [3085, 723], [2542, 714]]}, {"transcription": "Hhusm", "points": [[1718, 594], [2146, 772], [2080, 947], [1652, 769]]}, {"transcription": "CLUB", "points": [[2035, 785], [2262, 632], [2326, 736], [2098, 889]]}, {"transcription": "7F", "points": [[2997, 926], [3146, 949], [3127, 1085], [2978, 1062]]}]
386.png	[{"transcription": "배딩의 끝판왕! 짬릿한채미!", "points": [[711, 121], [1828, 145], [1826, 255], [708, 231]]}, {"transcription": "대양PC", "points": [[687, 245], [2402, 320], [2380, 802], [665, 728]]}, {"transcription": "바둑뚝이 포커맞고", "points": [[967, 795], [2166, 825], [2163, 961], [964, 932]]}, {"transcription": "B", "points": [[2237, 841], [2429, 841], [2429, 970], [2237, 970]]}]
387.png	[{"transcription": "진감너", "points": [[308, 80], [621, 89], [617, 213], [304, 203]]}, {"transcription": "실", "points": [[436, 227], [611, 227], [611, 350], [436, 350]]}, {"transcription": "경기", "points": [[790, 243], [976, 232], [983, 349], [797, 359]]}, {"transcription": "점", "points": [[708, 485], [950, 459], [972, 650], [730, 676]]}, {"transcription": "x", "points": [[940, 609], [1059, 555], [1073, 585], [954, 640]]}, {"transcription": "6F", "points": [[121, 805], [270, 805], [270, 934], [121, 934]]}, {"transcription": "T 헤6", "points": [[304, 821], [508, 851], [496, 936], [291, 905]]}, {"transcription": "9388-9", "points": [[733, 835], [1050, 841], [1048, 923], [732, 917]]}]
388.png	[{"transcription": "BubbleB", "points": [[44, 78], [1352, 311], [1311, 564], [3, 330]]}, {"transcription": "ar", "points": [[1302, 377], [1594, 434], [1565, 596], [1273, 539]]}]
389.png	[{"transcription": "스크린사격", "points": [[566, 164], [1655, 391], [1610, 613], [520, 386]]}, {"transcription": "국0s", "points": [[239, 269], [298, 276], [294, 304], [236, 297]]}, {"transcription": "상무점", "points": [[635, 445], [882, 492], [867, 568], [620, 521]]}, {"transcription": "T 37477744505F", "points": [[881, 475], [1634, 645], [1614, 735], [861, 565]]}]
39.png	[{"transcription": "대신증권", "points": [[1158, 31], [1807, 48], [1804, 199], [1156, 181]]}, {"transcription": "Daishin Securities", "points": [[242, 107], [742, 107], [742, 186], [242, 186]]}, {"transcription": "상무WM센터라F", "points": [[2565, 115], [2952, 115], [2952, 194], [2565, 194]]}]
391.png	[{"transcription": "BubbleB", "points": [[138, 172], [2488, 558], [2424, 972], [74, 586]]}, {"transcription": "ar", "points": [[2412, 614], [2967, 684], [2925, 1036], [2370, 966]]}]
393.png	[{"transcription": "0E", "points": [[146, 717], [914, 632], [940, 879], [173, 964]]}, {"transcription": "통소주방", "points": [[166, 985], [835, 931], [851, 1130], [182, 1185]]}]
394.png	[{"transcription": "BARB", "points": [[149, 51], [1813, 460], [1676, 1045], [11, 635]]}, {"transcription": "whisky/Beer/wine", "points": [[267, 721], [1175, 916], [1155, 1009], [248, 815]]}, {"transcription": "2F", "points": [[1657, 982], [1771, 982], [1771, 1123], [1657, 1123]]}]
395.png	[{"transcription": "menb나rs가o 티", "points": [[109, 151], [1706, 745], [1622, 1262], [0, 668]]}, {"transcription": "3F", "points": [[1488, 609], [1616, 609], [1616, 768], [1488, 768]]}]
396.png	[{"transcription": "S", "points": [[118, 178], [341, 187], [328, 521], [105, 512]]}, {"transcription": "1시간", "points": [[434, 394], [710, 499], [668, 608], [392, 503]]}, {"transcription": "타이아로", "points": [[1036, 490], [1627, 711], [1575, 850], [983, 629]]}, {"transcription": "만원", "points": [[1061, 715], [1324, 800], [1281, 931], [1018, 846]]}, {"transcription": "4F", "points": [[1366, 788], [1623, 915], [1556, 1047], [1300, 920]]}, {"transcription": "062372-1255", "points": [[1037, 880], [1617, 1082], [1588, 1164], [1008, 962]]}]
397.png	[{"transcription": "BBR", "points": [[471, 261], [1501, 692], [1365, 1006], [335, 575]]}]
399.png	[{"transcription": "서운", "points": [[763, 249], [1663, 434], [1561, 941], [661, 755]]}, {"transcription": "OMAKASE", "points": [[1827, 738], [2679, 850], [2656, 1030], [1804, 919]]}]
4.png	[{"transcription": "SPA", "points": [[51, 37], [988, 31], [990, 308], [53, 314]]}]
40.png	[{"transcription": "3T웨계aU", "points": [[156, 73], [238, 96], [97, 636], [15, 612]]}]
401.png	[{"transcription": "S아 MAKASE", "points": [[55, 13], [174, 13], [174, 640], [55, 640]]}, {"transcription": "2F", "points": [[132, 656], [205, 656], [205, 698], [132, 698]]}]
402.png	[{"transcription": "원드", "points": [[126, 0], [634, 315], [434, 614], [0, 280]]}, {"transcription": "소단테", "points": [[582, 345], [823, 513], [766, 668], [487, 500]]}, {"transcription": "무인호", "points": [[456, 553], [823, 748], [766, 861], [396, 666]]}]
403.png	[{"transcription": "상지야료", "points": [[111, 28], [1169, 738], [1026, 982], [0, 273]]}]
404.png	[{"transcription": "1안미", "points": [[113, 92], [1127, 804], [1011, 1015], [0, 302]]}]
405.png	[{"transcription": "상지", "points": [[27, 23], [536, 20], [537, 244], [28, 247]]}, {"transcription": "무인호텔", "points": [[527, 78], [986, 81], [985, 202], [526, 198]]}]
406.png	[{"transcription": "S9", "points": [[155, 142], [797, 647], [663, 824], [21, 319]]}, {"transcription": "0문의062-국7095", "points": [[75, 399], [374, 622], [352, 653], [53, 429]]}, {"transcription": "e문", "points": [[728, 896], [821, 961], [803, 989], [710, 923]]}]
407.png	[{"transcription": "페라리", "points": [[286, 47], [1137, 47], [1137, 291], [286, 291]]}, {"transcription": "Fesdr", "points": [[109, 215], [181, 215], [181, 241], [109, 241]]}, {"transcription": "아우디", "points": [[298, 282], [1127, 282], [1127, 527], [298, 527]]}, {"transcription": "C", "points": [[41, 362], [270, 362], [270, 437], [41, 437]]}]
408.png	[{"transcription": "9", "points": [[622, 106], [682, 106], [682, 184], [622, 184]]}, {"transcription": "memhershibs5F", "points": [[24, 281], [1098, 285], [1097, 413], [23, 409]]}, {"transcription": "F", "points": [[693, 344], [699, 338], [703, 343], [697, 349]]}]
41.png	[{"transcription": "BODYFRIEND", "points": [[40, 23], [1239, 31], [1238, 200], [40, 192]]}]
410.png	[{"transcription": "아우디페라리", "points": [[81, 14], [1377, 521], [1301, 800], [0, 293]]}, {"transcription": "유흥주점", "points": [[201, 387], [657, 538], [612, 679], [155, 528]]}, {"transcription": "유흥주루닭4F", "points": [[829, 605], [1363, 806], [1309, 932], [775, 755]]}]
411.png	[{"transcription": "포르워광E페", "points": [[53, 32], [1185, 312], [1121, 576], [0, 296]]}, {"transcription": "Cafe", "points": [[1073, 402], [1299, 478], [1263, 588], [1036, 512]]}, {"transcription": "카페", "points": [[1302, 523], [1373, 538], [1362, 594], [1291, 580]]}]
412.png	[{"transcription": "PORSCHE", "points": [[22, 28], [231, 25], [232, 76], [23, 79]]}, {"transcription": "포르쉬", "points": [[295, 33], [1144, 33], [1144, 270], [295, 270]]}]
413.png	[{"transcription": "T Dupont", "points": [[166, 19], [1340, 66], [1331, 285], [156, 239]]}]
415.png	[{"transcription": "DoMm", "points": [[48, 93], [616, 21], [644, 261], [76, 332]]}, {"transcription": "Cafe", "points": [[675, 101], [1003, 97], [1005, 278], [677, 281]]}, {"transcription": "카페", "points": [[1076, 143], [1193, 143], [1193, 207], [1076, 207]]}]
416.png	[{"transcription": "벤츠유롱", "points": [[47, 0], [822, 157], [822, 467], [0, 358]]}]
417.png	[{"transcription": "Businessbar", "points": [[302, 389], [541, 428], [531, 491], [292, 453]]}, {"transcription": "2F", "points": [[522, 427], [606, 427], [606, 502], [522, 502]]}]
418.png	[{"transcription": "Ka안마", "points": [[40, 27], [419, 71], [403, 226], [24, 182]]}, {"transcription": "8F", "points": [[416, 131], [474, 131], [474, 204], [416, 204]]}]
419.png	[{"transcription": "곰: 국", "points": [[823, 56], [1191, 51], [1193, 224], [825, 228]]}, {"transcription": "E파", "points": [[1192, 159], [1246, 159], [1246, 212], [1192, 212]]}, {"transcription": "서육식양만곰탕육사시미전문점", "points": [[505, 236], [1180, 231], [1181, 284], [506, 290]]}]
42.png	[{"transcription": "90-세o0치과의원", "points": [[160, 41], [3463, 296], [3439, 592], [136, 356]]}]
43.png	[{"transcription": "입구상체아일아원맥원전", "points": [[141, 0], [3754, 689], [3732, 996], [74, 331]]}]
434.png	[{"transcription": "수문약 주", "points": [[34, 39], [793, 118], [790, 393], [6, 339]]}]
436.png	[{"transcription": "KNgPiw", "points": [[397, 69], [566, 63], [595, 866], [426, 873]]}, {"transcription": "탕", "points": [[562, 125], [588, 125], [588, 180], [562, 180]]}, {"transcription": "A", "points": [[39, 143], [216, 143], [216, 412], [39, 412]]}, {"transcription": "BLB", "points": [[262, 140], [404, 162], [391, 247], [249, 226]]}, {"transcription": "첨바링장", "points": [[162, 216], [454, 265], [421, 473], [129, 423]]}, {"transcription": "마맛면", "points": [[562, 214], [603, 214], [603, 371], [562, 371]]}, {"transcription": "t", "points": [[391, 482], [412, 482], [412, 534], [391, 534]]}, {"transcription": "4페", "points": [[584, 519], [612, 520], [609, 617], [580, 616]]}, {"transcription": "-", "points": [[396, 533], [410, 533], [410, 564], [396, 564]]}, {"transcription": "HNPON", "points": [[114, 582], [374, 615], [361, 730], [100, 697]]}, {"transcription": "사x", "points": [[397, 594], [404, 594], [404, 614], [397, 614]]}, {"transcription": "드구m", "points": [[384, 630], [418, 632], [409, 829], [376, 827]]}, {"transcription": "SE4LE", "points": [[122, 714], [328, 744], [322, 790], [116, 760]]}, {"transcription": "F", "points": [[602, 733], [613, 733], [613, 758], [602, 758]]}, {"transcription": " 전구a", "points": [[599, 828], [619, 828], [619, 861], [599, 861]]}]
437.png	[{"transcription": "동APC", "points": [[31, 0], [653, 11], [632, 318], [11, 276]]}, {"transcription": "바둑어", "points": [[680, 28], [826, 40], [818, 132], [673, 120]]}, {"transcription": "체 oK", "points": [[681, 127], [735, 127], [735, 308], [681, 308]]}, {"transcription": "허어국", "points": [[732, 127], [824, 126], [827, 314], [735, 315]]}]
439.png	[{"transcription": "emewvo사5", "points": [[276, 110], [691, 108], [692, 193], [277, 195]]}, {"transcription": "/", "points": [[173, 143], [309, 127], [315, 183], [180, 199]]}]
44.png	[{"transcription": "모던성형외과의원", "points": [[624, 92], [2891, 178], [2882, 419], [614, 333]]}]
441.png	[{"transcription": "술마시는", "points": [[630, 22], [818, 28], [816, 88], [629, 83]]}, {"transcription": "가와지", "points": [[807, 62], [1951, 62], [1951, 393], [807, 393]]}, {"transcription": "PUPPFY", "points": [[312, 334], [422, 340], [420, 386], [310, 380]]}, {"transcription": "홀", "points": [[1542, 479], [1912, 486], [1907, 754], [1537, 748]]}, {"transcription": "B1", "points": [[145, 656], [460, 642], [470, 873], [155, 887]]}]
443.png	[{"transcription": "U크하KOMG", "points": [[64, 211], [196, 213], [189, 660], [57, 658]]}]
